country,gdp_per_capita
Greece,17430
Spain,24890
France,32800
Hungary,12690
Ireland,57610
Italy,27030
Poland,12500
Portugal,18190
Sweden,43760
Turkey,11570
Great_Britain,32640
Germany,35650
